Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Slackers,4814244,4814244,11000000,1-Feb-02,00-10,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,11,4.9,7934
The Singles Ward,1250798,1250798,500000,1-Feb-02,00-10,PG,,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,50,5.7,736
Birthday Girl,4919896,8130727,13000000,1-Feb-02,00-10,R,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,6,13366
Collateral Damage,40048332,78353508,85000000,8-Feb-02,00-10,R,109,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,,5.2,24358
Rollerball,18990542,25852508,70000000,8-Feb-02,00-10,PG-13,,MGM,Remake,Action,Science Fiction,John McTiernan,3,2.8,13827
Big Fat Liar,47811275,52375275,15000000,8-Feb-02,00-10,PG,88,Universal,Original Screenplay,Comedy,Contemporary Fiction,Shawn Levy,43,5.2,9877
Peter Pan: Return to Neverland,48430258,109862682,20000000,15-Feb-02,00-10,G,72,Walt Disney Pictures,Based on Play,Adventure,Kids Fiction,,46,,
Super Troopers,18492362,23046142,3000000,15-Feb-02,00-10,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jay Chandrasekhar,,6.8,29514
John Q,71026631,102226631,36000000,15-Feb-02,00-10,PG-13,116,New Line,Original Screenplay,Drama,Contemporary Fiction,Nick Cassavetes,22,6.6,32338
Crossroads,37188667,57000000,12000000,15-Feb-02,00-10,PG-13,93,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,,14,6.6,4894
Hart's War,19076815,33076815,70000000,15-Feb-02,00-10,R,,MGM,Based on Book/Short Story,Drama,Historical Fiction,,58,6.2,19541
Last Orders,2326407,2326407,12000000,15-Feb-02,00-10,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,Fred Schepisi,,7,3463
Reign of Fire,43061982,82150183,60000000,19-Feb-02,00-10,PG-13,102,Walt Disney Pictures,Original Screenplay,Action,Fantasy,,40,5.9,38414
Monsoon Wedding,13876974,13876974,1200000,22-Feb-02,00-10,R,,USA Films,Original Screenplay,Comedy,Contemporary Fiction,Mira Nair,,7.2,11314
Sex with Strangers,247740,247740,1100000,22-Feb-02,00-10,Not Rated,,,Based on Real Life Events,Documentary,Factual,,39,5,151
Dragonfly,30063805,30063805,60000000,22-Feb-02,00-10,PG-13,104,Universal,Original Screenplay,Drama,Fantasy,Tom Shadyac,7,5.8,14098
Queen of the Damned,30307804,30307804,35000000,22-Feb-02,00-10,R,101,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,,17,4.7,20268
Mean Machine,92723,92723,4500000,22-Feb-02,00-10,R,,,,,,,,6.3,12754
We Were Soldiers,78120196,114658262,70000000,1-Mar-02,00-10,R,138,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,,62,6.9,42580
The Calling,32092,32092,160000,1-Mar-02,00-10,PG,,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,,3.4,1113
40 Days and 40 Nights,37939782,95092667,17000000,1-Mar-02,00-10,R,96,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Michael Lehmann,38,5.4,27912
The Time Machine,56684819,98983590,80000000,8-Mar-02,00-10,PG-13,96,Dreamworks SKG,Based on Book/Short Story,Adventure,Science Fiction,,28,5.6,32465
All About the Benjamins,25482931,25873145,14000000,8-Mar-02,00-10,R,95,New Line,Original Screenplay,Comedy,Contemporary Fiction,Kevin Bray,29,5.3,4366
Men with Brooms,4239767,4239767,7500000,8-Mar-02,00-10,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,63,5.8,2559
Kissing Jessica Stein,7025722,8915268,1500000,13-Mar-02,00-10,R,,Fox Searchlight,Based on Play,Romantic Comedy,Contemporary Fiction,,,6.8,8291
Ice Age,176387405,383257136,65000000,15-Mar-02,00-10,PG,81,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,77,7.4,75552
Showtime,37948765,78948765,85000000,15-Mar-02,00-10,PG-13,95,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24,5.3,22128
Y Tu Mama Tambien (And Your Mother Too),13649881,33649881,5000000,15-Mar-02,00-10,R,,IFC Films,Original Screenplay,Drama,Contemporary Fiction,Alfonso Cuaron,,,
Resident Evil,40119709,103787401,35000000,15-Mar-02,00-10,R,100,Sony Pictures,Based on Game,Horror,Science Fiction,Paul Anderson,34,6.4,68342
Blade 2,81676888,154338601,54000000,22-Mar-02,00-10,R,117,New Line,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,,5.5,90
Sorority Boys,10198766,12516222,12000000,22-Mar-02,00-10,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,13,5.1,7392
Stolen Summer,119841,119841,1500000,22-Mar-02,00-10,PG,,Miramax,,,,,35,6.4,1733
Clockstoppers,36985501,38788828,26000000,29-Mar-02,00-10,PG,94,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Jonathan Frakes,28,5,6392
Death to Smoochy,8355815,8374062,50000000,29-Mar-02,00-10,R,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Danny De Vito,42,6.2,22379
The Rookie,75600072,80693537,22000000,29-Mar-02,00-10,G,128,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,82,5.5,8453
Panic Room,95308367,196308367,48000000,29-Mar-02,00-10,R,112,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,76,6.9,68737
National Lampoon's Van Wilder,21005329,37975553,6000000,5-Apr-02,00-10,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,,
Big Trouble,7262288,8488871,45000000,5-Apr-02,00-10,PG-13,,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,48,6.3,11610
High Crimes,41543207,63781100,42000000,5-Apr-02,00-10,PG-13,115,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Carl Franklin,31,6.1,14428
Lucky Break,54606,54606,6000000,5-Apr-02,00-10,PG-13,,Paramount Pictures,,,,Peter Cattaneo,,6.1,1482
The Sweetest Thing,24430272,44633441,43000000,12-Apr-02,00-10,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Roger Kumble,25,4.7,23378
Changing Lanes,66790248,66790248,45000000,12-Apr-02,00-10,R,99,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,77,6.5,29222
Frailty,13110448,17423030,11000000,12-Apr-02,00-10,R,,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,74,7.3,27629
The Scorpion King,90580000,164529000,60000000,19-Apr-02,00-10,PG-13,91,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40,5.3,30359
Nine Queens,1222889,12412889,1500000,19-Apr-02,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,,
My Big Fat Greek Wedding,241438208,368744044,5000000,19-Apr-02,00-10,PG,95,IFC Films,Based on Play,Romantic Comedy,Contemporary Fiction,Joel Zwick,75,6.6,46548
Murder by Numbers,31874869,56643267,50000000,19-Apr-02,00-10,R,120,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Barbet Schroeder,31,5.9,22318
Jason X,13121555,16951798,14000000,26-Apr-02,00-10,R,,New Line,,Horror,Contemporary Fiction,,21,4.4,17964
"Life, or Something Like It",14448589,14448589,40000000,26-Apr-02,00-10,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Stephen Herek,,,
The Salton Sea,676698,676698,18000000,26-Apr-02,00-10,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,63,7.1,16415
Spider-Man,403706375,821708551,139000000,3-May-02,00-10,PG-13,121,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89,7.4,167524
Deuces Wild,6044618,6044618,10000000,3-May-02,00-10,R,,MGM,Original Screenplay,Drama,Historical Fiction,,3,5.3,4010
Hollywood Ending,4839383,14839383,16000000,3-May-02,00-10,PG-13,,Dreamworks SKG,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,46,6.3,10486
Unfaithful,52752475,119114494,50000000,8-May-02,00-10,R,123,20th Century Fox,Remake,Drama,Contemporary Fiction,Adrian Lyne,48,6.6,23998
The New Guy,28972187,28972187,13000000,10-May-02,00-10,PG-13,88,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,7,5.4,14268
Hybrid,162605,162605,200000,10-May-02,00-10,Not Rated,,Indican Pictures,Based on Real Life Events,Documentary,Factual,,,2.2,380
The Business of Fancy Dancing,174682,174682,200000,10-May-02,00-10,Not Rated,,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,,,7,355
Star Wars Ep. II: Attack of the Clones,310676740,656695615,115000000,16-May-02,00-10,PG,142,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,67,6.8,350000
Harvard Man,56653,56653,5500000,17-May-02,00-10,R,,,,Drama,,,,4.9,2758
About a Boy,40803000,129949664,27000000,17-May-02,00-10,PG-13,101,Universal,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Paul Weitz,93,7.4,48875
The Importance of Being Earnest,8378141,8378141,15000000,22-May-02,00-10,PG,,Miramax,Based on Play,Comedy,Historical Fiction,,58,6.7,9345
Spirit: Stallion of the Cimarron,73215310,106515310,80000000,24-May-02,00-10,G,84,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Kelly Asbury,,6.6,8622
Thirteen Conversations About One Thing,3287435,3705923,3000000,24-May-02,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,7.1,6188
Insomnia,67263182,113622499,46000000,24-May-02,00-10,R,118,Warner Bros.,Remake,Thriller/Suspense,Contemporary Fiction,Christopher Nolan,92,6.3,33
Enough,39177215,39177215,38000000,24-May-02,00-10,PG-13,115,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21,6.5,92
Elling,313436,313436,2100000,29-May-02,00-10,R,,,,,,,,7.5,7114
The Sum of All Fears,118471320,193500000,68000000,31-May-02,00-10,PG-13,124,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phil Alden Robinson,59,6.3,38586
Undercover Brother,38230435,38230435,25000000,31-May-02,00-10,PG-13,86,Universal,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,76,5.7,14237
Bad Company,30157016,69157016,70000000,7-Jun-02,00-10,PG-13,117,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Joel Schumacher,10,5.3,17901
The Divine Secrets of the Ya-Ya Sisterhood,69586544,73826768,27000000,7-Jun-02,00-10,PG-13,116,Warner Bros.,Based on Book/Short Story,Comedy,Contemporary Fiction,,,,
The Bourne Identity,121468960,213300000,60000000,14-Jun-02,00-10,PG-13,110,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Doug Liman,82,7.7,122597
Windtalkers,40914068,77628265,115000000,14-Jun-02,00-10,R,134,MGM,Original Screenplay,Action,Historical Fiction,John Woo,32,5.8,26421
Scooby-Doo,153294164,276294164,84000000,14-Jun-02,00-10,PG,86,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,28,4.7,26018
The Dangerous Lives of Altar Boys,1779284,1779284,12000000,14-Jun-02,00-10,R,,ThinkFilm,Based on Book/Short Story,Drama,Contemporary Fiction,,77,6.9,7943
Minority Report,132024714,358824714,102000000,21-Jun-02,00-10,PG-13,145,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,91,7.7,135142
Lilo & Stitch,145771527,245800000,80000000,21-Jun-02,00-10,PG,85,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Dean DeBlois,,7.1,25611
Juwanna Man,13571817,13771817,15600000,21-Jun-02,00-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,,4.1,3062
Sunshine State,3064356,3064356,5600000,21-Jun-02,00-10,PG-13,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,80,6.8,2769
Hey Arnold! The Movie,13684949,13684949,10000000,28-Jun-02,00-10,PG,,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,30,5.3,1629
Mr. Deeds,126293452,171269535,50000000,28-Jun-02,00-10,PG-13,96,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Steven Brill,22,5.5,39756
Lovely and Amazing,4210379,4695781,250000,28-Jun-02,00-10,R,,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,,,6.8,3936
Men in Black 2,190418803,441818803,140000000,3-Jul-02,00-10,PG-13,88,Sony Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,Barry Sonnenfeld,,7.4,467
The Powerpuff Girls,11411644,16425701,25000000,3-Jul-02,00-10,PG,,Warner Bros.,Based on TV,Adventure,Super Hero,,,5.9,3234
Like Mike,51432423,62432423,30000000,3-Jul-02,00-10,PG,99,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,John Schultz,56,4.4,4870
Crocodile Hunter: Collision Course,28436931,33436931,12500000,12-Jul-02,00-10,PG,90,MGM,Based on TV,Comedy,Contemporary Fiction,,,,
The Road to Perdition,104054514,181054514,80000000,12-Jul-02,00-10,R,117,Dreamworks SKG,Based on Comic/Graphic Novel,Drama,Historical Fiction,Sam Mendes,,,
Halloween: Resurrection,30259652,37659652,15000000,12-Jul-02,00-10,R,89,Miramax/Dimension,,Horror,Contemporary Fiction,Rick Rosenthal,,3.9,13181
Never Again,307631,307631,500000,12-Jul-02,00-10,R,,,,Romantic Comedy,,,,5.8,511
Eight Legged Freaks,17266505,17266505,30000000,17-Jul-02,00-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,47,5.4,18173
K-19: The Widowmaker,35168966,65716126,90000000,19-Jul-02,00-10,PG-13,138,Paramount Pictures,Based on Book/Short Story,Action,Dramatization,Kathryn Bigelow,61,6.5,22288
Stuart Little 2,64956806,166000000,120000000,19-Jul-02,00-10,PG,78,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,83,5.6,7534
Tadpole,2891288,3200241,150000,19-Jul-02,00-10,PG-13,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Gary Winick,78,6.1,3800
Ayurveda: Art of Being,16892,2066892,300000,19-Jul-02,00-10,Not Rated,,Kino International,,Documentary,Factual,,,7.3,181
Austin Powers in Goldmember,213117789,292738626,63000000,25-Jul-02,00-10,PG-13,94,New Line,Original Screenplay,Comedy,Science Fiction,Jay Roach,54,6.2,69140
The Country Bears,16988996,16988996,20000000,26-Jul-02,00-10,G,,Walt Disney Pictures,Disney Ride,Adventure,Kids Fiction,,27,3.8,2021
The Master of Disguise,40363530,40363530,16000000,2-Aug-02,00-10,PG,80,Sony Pictures,Original Screenplay,Comedy,Kids Fiction,,2,3,10050
Full Frontal,2512846,3438804,2000000,2-Aug-02,00-10,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Steven Soderbergh,37,4.8,6660
Martin Lawrence Live: RunTelDat,19184820,19184820,3000000,2-Aug-02,00-10,R,,Paramount Pictures,Based on Real Life Events,Concert/Performance,Factual,,,4.9,1166
Signs,227965690,408265690,70702619,2-Aug-02,00-10,PG-13,106,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74,6.9,111561
Spy Kids 2: The Island of Lost Dreams,85846296,119721296,38000000,7-Aug-02,00-10,PG,100,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,75,,
The Good Girl,14018296,15976468,8000000,7-Aug-02,00-10,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,81,6.6,21460
xXx,141930000,267200000,70000000,9-Aug-02,00-10,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,48,5.5,52636
Blood Work,26199517,26199517,50000000,9-Aug-02,00-10,R,110,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,54,6.3,16751
Pandora's Box,881950,881950,800000,9-Aug-02,00-10,R,,Kino International,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,386
The Adventures of Pluto Nash,4411102,7094995,100000000,16-Aug-02,00-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Science Fiction,,6,3.7,9207
Blue Crush,40118420,51327420,30000000,16-Aug-02,00-10,PG-13,105,Universal,Based on Magazine Article,Drama,Contemporary Fiction,,62,5.5,11699
Possession,10103647,14805812,25000000,16-Aug-02,00-10,PG-13,,Focus Features,Based on Book/Short Story,Drama,Contemporary Fiction,Neil LaBute,64,6.4,6789
One Hour Photo,31597131,52223306,12000000,21-Aug-02,00-10,R,96,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,,81,7,42134
Undisputed,12398628,12398628,20000000,23-Aug-02,00-10,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Walter Hill,49,5.8,6837
Serving Sara,16930185,20146150,29000000,23-Aug-02,00-10,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,5,7973
FearDotCom,13208023,13208023,40000000,30-Aug-02,00-10,R,,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,,3.1,11438
Swimfan,28563926,28563926,10000000,6-Sep-02,00-10,PG-13,86,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,,15,4.6,9577
City by the Sea,22433915,22433915,40000000,6-Sep-02,00-10,R,,Warner Bros.,Based on Magazine Article,Drama,Contemporary Fiction,Michael Caton-Jones,48,6.1,13487
Barbershop,75781642,77081642,12000000,13-Sep-02,00-10,PG-13,103,MGM,Original Screenplay,Comedy,Contemporary Fiction,Tim Story,82,6.2,11164
Stealing Harvard,13973532,13973532,25000000,13-Sep-02,00-10,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,8,4.7,6899
Igby Goes Down,4777465,4777465,9000000,13-Sep-02,00-10,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,76,7,19050
Betty Fisher et autres histoires,206400,206400,7500000,13-Sep-02,00-10,Not Rated,,WellSpring,Based on Book/Short Story,Drama,,,,6.9,1054
Ballistic: Ecks vs. Sever,14294842,14294842,70000000,20-Sep-02,00-10,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,,,3.4,11112
Spirited Away,10049886,274949886,19000000,20-Sep-02,00-10,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,Hayao Miyazaki,,,
The Banger Sisters,30306281,38067218,10000000,20-Sep-02,00-10,R,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,47,5.5,7435
The Four Feathers,18306166,29882645,35000000,20-Sep-02,00-10,PG-13,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Shekhar Kapur,41,6.3,13204
8 femmes,3076425,42376425,8000000,20-Sep-02,00-10,R,,Focus Features,Based on Play,Musical,Contemporary Fiction,,,7,13631
Trapped,6916869,6916869,30000000,20-Sep-02,00-10,R,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,18,6,10685
Eye See You,79161,1807990,55000000,20-Sep-02,00-10,Not Rated,,,,,,,,5.1,397
The Tuxedo,50586000,50586000,60000000,27-Sep-02,00-10,PG-13,99,Dreamworks SKG,Original Screenplay,Action,Science Fiction,,22,5,19370
Sweet Home Alabama,127214072,163379330,38000000,27-Sep-02,00-10,PG-13,109,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Tennant,37,5.8,29891
Moonlight Mile,6830957,6830957,21000000,27-Sep-02,00-10,PG-13,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Brad Silberling,62,6.7,8346
Charly,814666,814666,950000,27-Sep-02,00-10,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,,,5.8,60
Wasabi,81525,7000000,15300000,27-Sep-02,00-10,R,,Sony Pictures,,,,,,6.5,11647
Jonah: A VeggieTales Movie,25571351,25606175,14000000,4-Oct-02,00-10,G,82,Artisan,Based on Short Film,Adventure,Kids Fiction,,,6.3,1704
Red Dragon,92955420,206455420,78000000,4-Oct-02,00-10,R,125,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Brett Ratner,68,7.3,66386
Welcome to Collinwood,378650,378650,12000000,4-Oct-02,00-10,R,,Warner Bros.,,,,,53,6.2,7887
The Transporter,25296447,43928932,21000000,11-Oct-02,00-10,PG-13,92,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Corey Yuen,53,6.6,51005
The Rules of Attraction,6525762,11799060,4000000,11-Oct-02,00-10,R,,Lionsgate,Based on Book/Short Story,Comedy,Contemporary Fiction,,44,6.7,26634
Punch-Drunk Love,17791031,24591031,25000000,11-Oct-02,00-10,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Paul Thomas Anderson,79,7.4,49786
Bowling for Columbine,21576018,58576018,3000000,11-Oct-02,00-10,R,,MGM,Based on Real Life Events,Documentary,Factual,Michael Moore,96,8.2,76928
White Oleander,16357770,21657770,16000000,11-Oct-02,00-10,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,,69,7,13755
Tuck Everlasting,19161999,19344615,15000000,11-Oct-02,00-10,PG,,Walt Disney Pictures,Based on Book/Short Story,Drama,Kids Fiction,Jay Russell,61,6.5,6639
Knockaround Guys,11660180,12419700,15000000,11-Oct-02,00-10,R,,New Line,Original Screenplay,Drama,Contemporary Fiction,,,6,11019
Brown Sugar,27362712,28315272,8000000,11-Oct-02,00-10,PG-13,109,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,,64,6,2745
Swept Away,598645,598645,10000000,11-Oct-02,00-10,R,,Sony Pictures,Remake,Romantic Comedy,Contemporary Fiction,Guy Ritchie,5,3.4,7665
Formula 51,5204007,5204007,27000000,18-Oct-02,00-10,R,,Screen Media Films,Original Screenplay,Action,Contemporary Fiction,,,,
Real Women Have Curves,5853194,5853194,3000000,18-Oct-02,00-10,PG-13,,Newmarket Films,Based on Play,Comedy,Contemporary Fiction,,83,7,4396
Auto Focus,2062066,2703821,7000000,18-Oct-02,00-10,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Dramatization,Paul Schrader,72,6.6,7236
The Ring,129094024,249094024,48000000,18-Oct-02,00-10,PG-13,115,Dreamworks SKG,Remake,Horror,Contemporary Fiction,Gore Verbinski,71,5.5,589
Abandon,10719367,12219367,25000000,18-Oct-02,00-10,PG-13,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,17,4.8,5361
Jackass: The Movie,64282312,75466905,5000000,25-Oct-02,00-10,R,92,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,,6.3,27454
All the Queen's Men,22723,22723,15000000,25-Oct-02,00-10,PG-13,,Strand,Original Screenplay,Comedy,,,,3.5,1591
Frida,25885000,56298474,12000000,25-Oct-02,00-10,R,123,Miramax,Based on Real Life Events,Drama,Dramatization,,76,7.3,26243
Time Changer,1500711,1500711,825000,25-Oct-02,00-10,PG,,Five & Two Pictures,Original Screenplay,Drama,Fantasy,,22,5,1029
All or Nothing,184255,184255,9000000,25-Oct-02,00-10,R,,MGM,Original Screenplay,Drama,,Mike Leigh,,,
Ghost Ship,30113491,68349884,20000000,25-Oct-02,00-10,R,91,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,,13,5.3,25891
I Spy,33561137,33561137,70000000,1-Nov-02,00-10,PG-13,97,Sony Pictures,Based on TV,Action,Contemporary Fiction,Betty Thomas,15,5.3,18061
The Santa Clause 2,139225854,172825854,65000000,1-Nov-02,00-10,G,104,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Michael Lembeck,,5.5,9061
Femme Fatale,6592103,6592103,35000000,6-Nov-02,00-10,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,48,6.3,16693
8 Mile,116724075,242924075,41000000,8-Nov-02,00-10,R,110,Universal,Original Screenplay,Drama,Contemporary Fiction,Curtis Hanson,74,6.7,55877
Far From Heaven,15901849,29027914,13500000,8-Nov-02,00-10,PG-13,,Focus Features,Original Screenplay,Drama,Historical Fiction,Todd Haynes,89,7.5,20239
Half Past Dead,15567860,19233280,25000000,15-Nov-02,00-10,PG-13,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,2,4.1,6909
Harry Potter and the Chamber of Secrets,261987880,878987880,100000000,15-Nov-02,00-10,PG,161,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,82,7.2,120063
El Crimen de Padre,5719000,5719000,1800000,15-Nov-02,00-10,R,,Goldwyn Entertainment,Based on Book/Short Story,Drama,Historical Fiction,,,,
Ararat,1693000,1693000,15500000,15-Nov-02,00-10,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,56,6.6,6763
Revolution#9,9118,9118,350000,15-Nov-02,00-10,,,,,Thriller/Suspense,,,,7.3,252
Interview with the Assassin,47329,47329,750000,15-Nov-02,00-10,R,,,,,,,67,6.6,1107
Die Another Day,160942139,431942139,142000000,22-Nov-02,00-10,PG-13,133,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Lee Tamahori,59,6,67476
Friday After Next,33253609,33526835,10000000,22-Nov-02,00-10,R,85,New Line,Original Screenplay,Comedy,Contemporary Fiction,,25,5.3,6742
The Emperor's Club,14060950,16124074,12500000,22-Nov-02,00-10,PG-13,,Universal,Based on Book/Short Story,Drama,Historical Fiction,,50,6.7,8165
The Quiet American,12987647,12987647,20000000,22-Nov-02,00-10,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.2,14285
Extreme Ops,4835968,12624471,40000000,27-Nov-02,00-10,PG-13,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Christian Duguay,6,4.1,3195
Treasure Planet,38120554,91800000,100000000,27-Nov-02,00-10,PG,96,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,69,6.6,12099
Solaris,14970038,14970038,47000000,27-Nov-02,00-10,PG-13,,20th Century Fox,Remake,Drama,Science Fiction,Steven Soderbergh,65,6.2,33151
They,12840842,12840842,17000000,27-Nov-02,00-10,PG-13,,Miramax/Dimension,Original Screenplay,Horror,Contemporary Fiction,,37,4.6,6550
Rabbit-Proof Fence,6199600,16199600,7000000,29-Nov-02,00-10,PG,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.6,13241
Equilibrium,1190018,5345869,20000000,6-Dec-02,00-10,R,,Miramax/Dimension,Original Screenplay,Action,Science Fiction,,37,7.7,86428
Analyze That,32122249,54994757,60000000,6-Dec-02,00-10,R,96,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,27,5.6,24090
Adaptation,22498520,22498520,18500000,6-Dec-02,00-10,R,,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Spike Jonze,91,7.9,67135
Empire,17504595,18495444,3500000,6-Dec-02,00-10,R,,Universal,Original Screenplay,Drama,Contemporary Fiction,,21,6.5,63
Star Trek: Nemesis,43254409,67312826,60000000,13-Dec-02,00-10,PG-13,117,Paramount Pictures,Based on TV,Adventure,Science Fiction,,,6.4,28449
